1666|Would you like to catch up properly tomorrow?|내일 제대로 이야기 나눌래요?|Social|Intermediate|Use when suggesting a proper catch-up instead of a quick hello.
1667|Would you like to catch up properly this weekend?|이번 주말에 제대로 이야기 나눌래요?|Social|Intermediate|Use when suggesting a proper catch-up instead of a quick hello.
1668|Would you like to catch up properly after work?|퇴근 후에 제대로 이야기 나눌래요?|Social|Intermediate|Use when suggesting a proper catch-up instead of a quick hello.
1669|Would you like to catch up properly sometime next week?|다음 주 중에 제대로 이야기 나눌래요?|Social|Intermediate|Use when suggesting a proper catch-up instead of a quick hello.
1670|Would you like to catch up properly when you are free?|시간 괜찮을 때 제대로 이야기 나눌래요?|Social|Intermediate|Use when suggesting a proper catch-up instead of a quick hello.
1723|I should drink more water before I get a headache.|두통이 오기 전에 물을 좀 더 마셔야 해.|Health|Intermediate|Use when talking about preventing dehydration before symptoms get worse.
1728|I should stretch my shoulders before the tension gets worse.|뻐근함이 더 심해지기 전에 어깨를 풀어 줘야 해.|Health|Intermediate|Use when talking about easing shoulder tension before it builds up.
1732|I should go to bed earlier tonight.|오늘은 더 일찍 자야 해.|Health|Beginner|Use when reminding yourself to sleep earlier that night.
1733|I should go to bed earlier before I get too worn out.|너무 지치기 전에 더 일찍 자야 해.|Health|Intermediate|Use when talking about resting earlier before fatigue builds up.
1738|I should take a short walk before I feel too sluggish.|너무 처지기 전에 잠깐 걸어야 해.|Health|Intermediate|Use when talking about moving a little before your body feels heavy.
1743|I should cut back on sugar before I feel worse.|상태가 더 안 좋아지기 전에 당분을 좀 줄여야 해.|Health|Intermediate|Use when talking about reducing sugar before it affects how you feel.
1748|I should slow down a little before I burn out.|번아웃이 오기 전에 조금 속도를 늦춰야 해.|Health|Intermediate|Use when talking about easing your pace before you get exhausted.
1753|I should rest my eyes before the strain gets worse.|눈의 피로가 더 심해지기 전에 눈을 쉬게 해야 해.|Health|Intermediate|Use when talking about resting your eyes before strain builds up.
1758|I should eat something light before I feel sick.|속이 더 불편해지기 전에 가볍게 뭘 좀 먹어야 해.|Health|Intermediate|Use when talking about eating lightly before you feel unwell.
1778|I feel better when I take a short break when I am under stress.|스트레스를 받을 때는 잠깐 쉬면 더 괜찮아져.|Health|Intermediate|Use when describing how short breaks help you when stress builds up.
1783|I feel better when I keep a steady routine when I am under stress.|스트레스를 받을 때는 생활 리듬을 일정하게 유지하면 더 괜찮아져.|Health|Intermediate|Use when describing how routines help you stay balanced under stress.
1788|I feel better when I drink warm tea when I am under stress.|스트레스를 받을 때는 따뜻한 차를 마시면 더 괜찮아져.|Health|Intermediate|Use when describing a small habit that helps when you feel stressed.
1791|I feel better when I get a little more sleep on weekends.|주말에 잠을 조금 더 자면 더 괜찮아져.|Health|Intermediate|Use when describing how extra rest on weekends helps you recover.
1792|I feel better when I get a little more sleep after a long week.|한 주가 길게 느껴진 뒤에는 잠을 조금 더 자면 더 괜찮아져.|Health|Intermediate|Use when describing how extra sleep helps after a tiring week.
1793|I feel better when I get a little more sleep when I am under stress.|스트레스를 받을 때는 잠을 조금 더 자면 더 괜찮아져.|Health|Intermediate|Use when describing how extra sleep helps you cope with stress.
1794|I feel better when I get a little more sleep on rainy days.|비 오는 날에는 잠을 조금 더 자면 더 괜찮아져.|Health|Intermediate|Use when describing how extra sleep can help on low-energy days.
1795|I feel better when I get a little more sleep after staying up too late.|늦게까지 깨어 있었던 뒤에는 잠을 조금 더 자면 더 괜찮아져.|Health|Intermediate|Use when describing how catching up on sleep helps after a late night.
1801|I feel better when I avoid sugary snacks in the afternoon.|오후에는 단 간식을 피하면 더 괜찮아져.|Health|Intermediate|Use when describing how avoiding sugary snacks helps your energy in the afternoon.
1802|I feel better when I avoid sugary snacks after a long meeting.|긴 회의 뒤에는 단 간식을 피하면 더 괜찮아져.|Health|Intermediate|Use when describing how avoiding sugary snacks helps after mental fatigue.
1803|I feel better when I avoid sugary snacks when I am under stress.|스트레스를 받을 때는 단 간식을 피하면 더 괜찮아져.|Health|Intermediate|Use when describing how avoiding sugary snacks helps when stress affects your habits.
1804|I feel better when I avoid sugary snacks on rainy days.|비 오는 날에는 단 간식을 피하면 더 괜찮아져.|Health|Intermediate|Use when describing how avoiding sugary snacks helps on low-energy days.
1805|I feel better when I avoid sugary snacks after using the computer for hours.|오랫동안 컴퓨터를 쓴 뒤에는 단 간식을 피하면 더 괜찮아져.|Health|Intermediate|Use when describing how avoiding sugary snacks helps after long screen time.
1845|I am looking for a desk lamp with a simple design.|디자인이 깔끔한 책상 조명을 찾고 있어.|Shopping|Intermediate|Use when asking for a desk lamp with a clean and simple look.
1891|Could you show me an umbrella that is easier to carry?|좀 더 들고 다니기 쉬운 우산을 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for an umbrella that feels more convenient to carry.
1892|Could you show me an umbrella that feels a little lighter?|조금 더 가벼운 느낌의 우산을 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for a lighter umbrella option.
1893|Could you show me an umbrella for everyday use?|평소에 쓰기 좋은 우산을 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for an umbrella suited to daily use.
1894|Could you show me an umbrella with a cleaner design?|디자인이 더 깔끔한 우산을 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for an umbrella with a more minimal design.
1895|Could you show me an umbrella that takes up less space?|공간을 덜 차지하는 우산을 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for a more compact umbrella.
1916|Could you show me a pair of sneakers that are easier to carry?|좀 더 들고 다니기 쉬운 운동화를 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for sneakers that feel less bulky to carry.
1917|Could you show me a pair of sneakers that feel a little lighter?|조금 더 가벼운 느낌의 운동화를 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for lighter sneakers.
1918|Could you show me a pair of sneakers for everyday use?|평소에 쓰기 좋은 운동화를 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for sneakers suited to daily use.
1919|Could you show me a pair of sneakers with a cleaner design?|디자인이 더 깔끔한 운동화를 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for sneakers with a simpler design.
1920|Could you show me a pair of sneakers that take up less space?|공간을 덜 차지하는 운동화를 보여 주실 수 있나요?|Shopping|Intermediate|Use when asking for sneakers that are easier to pack or store.
1971|The laptop keeps freezing when I open too many tabs.|탭을 너무 많이 열면 노트북이 자꾸 멈춰.|Technology|Intermediate|Use when describing a laptop that slows down or freezes under a heavy load.
1972|The laptop keeps disconnecting from Wi-Fi at random.|노트북이 와이파이 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing a laptop with unstable wireless connection.
1973|The laptop keeps asking me to sign in again after sleep mode.|노트북이 절전 모드 후에 자꾸 다시 로그인하라고 해.|Technology|Intermediate|Use when describing repeated sign-in prompts after sleep mode.
1974|The laptop keeps running more slowly than usual after the update.|업데이트 후에 노트북이 평소보다 느리게 돌아가.|Technology|Intermediate|Use when describing a noticeable slowdown after a software update.
1975|The laptop keeps failing to save the latest changes.|노트북에서 마지막 변경 내용이 자꾸 저장되지 않아.|Technology|Intermediate|Use when describing repeated save failures on a laptop.
1976|The tablet keeps freezing when I switch between apps.|앱을 왔다 갔다 하면 태블릿이 자꾸 멈춰.|Technology|Intermediate|Use when describing a tablet that freezes during multitasking.
1977|The tablet keeps disconnecting from Bluetooth at random.|태블릿이 블루투스 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing unstable Bluetooth connection on a tablet.
1978|The tablet keeps asking me to sign in again after every restart.|태블릿이 다시 켤 때마다 자꾸 다시 로그인하라고 해.|Technology|Intermediate|Use when describing repeated sign-in prompts after restarting a tablet.
1979|The tablet keeps running more slowly than usual when the storage is almost full.|저장 공간이 거의 찼을 때 태블릿이 평소보다 느리게 돌아가.|Technology|Intermediate|Use when describing a tablet slowing down because storage is nearly full.
1980|The tablet keeps failing to upload the latest photo.|태블릿에서 마지막 사진이 자꾸 업로드되지 않아.|Technology|Intermediate|Use when describing repeated upload failures on a tablet.
1981|The browser keeps freezing when I open a heavy website.|무거운 웹사이트를 열면 브라우저가 자꾸 멈춰.|Technology|Intermediate|Use when describing a browser freezing on resource-heavy websites.
1982|The browser keeps signing me out at random.|브라우저가 자꾸 중간에 로그아웃돼.|Technology|Intermediate|Use when describing a browser session that unexpectedly signs out.
1983|The browser keeps asking me to sign in again on the same site.|같은 사이트에서 브라우저가 자꾸 다시 로그인하라고 해.|Technology|Intermediate|Use when describing repeated sign-in prompts in the browser.
1984|The browser keeps running more slowly than usual with too many extensions on.|확장 프로그램이 너무 많으면 브라우저가 평소보다 느리게 돌아가.|Technology|Intermediate|Use when describing browser slowdown caused by too many extensions.
1985|The browser keeps failing to load the latest page properly.|브라우저가 마지막으로 연 페이지를 자꾸 제대로 불러오지 못해.|Technology|Intermediate|Use when describing repeated page loading problems in the browser.
1986|The printer keeps freezing when I send a large file.|용량이 큰 파일을 보내면 프린터가 자꾸 멈춰.|Technology|Intermediate|Use when describing a printer that freezes on large print jobs.
1987|The printer keeps disconnecting from the network at random.|프린터가 네트워크 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing a printer with unstable network connection.
1988|The printer keeps asking me to sign in again on the admin page.|프린터 관리 페이지에서 자꾸 다시 로그인하라고 해.|Technology|Intermediate|Use when describing repeated sign-in prompts on a printer admin page.
1989|The printer keeps running more slowly than usual with color prints.|컬러 인쇄를 하면 프린터가 평소보다 느리게 돌아가.|Technology|Intermediate|Use when describing slow printer performance during color printing.
1990|The printer keeps failing to print the last page.|프린터가 마지막 페이지를 자꾸 출력하지 못해.|Technology|Intermediate|Use when describing repeated printing failures on the last page.
1991|The router keeps freezing after running for a few hours.|몇 시간 켜 두면 공유기가 자꾸 멈춰.|Technology|Intermediate|Use when describing a router that becomes unresponsive after a while.
1992|The router keeps disconnecting at random in the evening.|저녁만 되면 공유기 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing random evening disconnections on a router.
1993|The router keeps asking me to sign in again on the settings page.|설정 페이지에서 공유기가 자꾸 다시 로그인하라고 해.|Technology|Intermediate|Use when describing repeated sign-in prompts on router settings.
1994|The router keeps running more slowly than usual when too many devices are connected.|기기가 너무 많이 연결되면 공유기가 평소보다 느리게 돌아가.|Technology|Intermediate|Use when describing router slowdown under a heavy connection load.
1995|The router keeps failing to save the new settings.|공유기가 새 설정을 자꾸 저장하지 못해.|Technology|Intermediate|Use when describing repeated failures to save router settings.
1996|The camera app keeps freezing when I switch to video mode.|동영상 모드로 바꾸면 카메라 앱이 자꾸 멈춰.|Technology|Intermediate|Use when describing a camera app that freezes when changing modes.
1997|The camera app keeps disconnecting from cloud backup at random.|카메라 앱이 클라우드 백업 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing unstable cloud backup in a camera app.
1998|The camera app keeps asking me to sign in again after each update.|업데이트할 때마다 카메라 앱이 자꾸 다시 로그인하라고 해.|Technology|Intermediate|Use when describing repeated sign-in prompts after camera app updates.
1999|The camera app keeps running more slowly than usual when the gallery is full.|갤러리가 가득 차 있으면 카메라 앱이 평소보다 느리게 돌아가.|Technology|Intermediate|Use when describing camera app slowdown when storage is crowded.
2000|The camera app keeps failing to save the latest photo.|카메라 앱이 마지막 사진을 자꾸 저장하지 못해.|Technology|Intermediate|Use when describing repeated photo save failures in a camera app.
2001|The headset keeps cutting out during calls.|통화 중에 헤드셋 소리가 자꾸 끊겨.|Technology|Intermediate|Use when describing audio interruptions with a headset during calls.
2002|The headset keeps disconnecting from Bluetooth at random.|헤드셋이 블루투스 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing unstable Bluetooth connection on a headset.
2003|The headset keeps asking me to pair it again.|헤드셋이 자꾸 다시 페어링하라고 해.|Technology|Intermediate|Use when describing a headset that repeatedly loses its pairing.
2004|The headset keeps running out of battery faster than usual.|헤드셋 배터리가 평소보다 빨리 닳아.|Technology|Intermediate|Use when describing unusually fast battery drain in a headset.
2005|The headset keeps failing to connect to one side.|헤드셋 한쪽이 자꾸 연결되지 않아.|Technology|Intermediate|Use when describing one side of a headset failing to connect.
2006|The charging cable keeps slipping out of the port.|충전 케이블이 포트에서 자꾸 빠져.|Technology|Intermediate|Use when describing a charging cable that does not stay connected firmly.
2007|The charging cable keeps disconnecting at random.|충전 케이블 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing an unstable charging connection.
2008|The charging cable keeps charging only at a certain angle.|충전 케이블이 특정 각도에서만 충전돼.|Technology|Intermediate|Use when describing a cable that only works in a limited position.
2009|The charging cable keeps working more slowly than usual.|충전 케이블이 평소보다 느리게 충전돼.|Technology|Intermediate|Use when describing unusually slow charging speed.
2010|The charging cable keeps failing to charge the device fully.|충전 케이블로 기기가 끝까지 충전되지 않아.|Technology|Intermediate|Use when describing incomplete charging caused by a cable issue.
2011|The cloud sync keeps freezing when I upload a large folder.|큰 폴더를 올리면 클라우드 동기화가 자꾸 멈춰.|Technology|Intermediate|Use when describing cloud sync freezing during large uploads.
2012|The cloud sync keeps disconnecting at random.|클라우드 동기화 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing an unstable cloud sync connection.
2013|The cloud sync keeps asking me to sign in again after a password change.|비밀번호를 바꾼 뒤에 클라우드 동기화가 자꾸 다시 로그인하라고 해.|Technology|Intermediate|Use when describing repeated cloud sync sign-in prompts after changing a password.
2014|The cloud sync keeps running more slowly than usual today.|오늘은 클라우드 동기화가 평소보다 느리게 돌아가.|Technology|Intermediate|Use when describing noticeably slow cloud sync performance.
2015|The cloud sync keeps failing to upload the latest files.|클라우드 동기화가 마지막 파일들을 자꾸 업로드하지 못해.|Technology|Intermediate|Use when describing repeated failures to upload recent files.
2016|The speaker keeps cutting out at higher volume.|볼륨을 높이면 스피커 소리가 자꾸 끊겨.|Technology|Intermediate|Use when describing audio cutting out at higher speaker volume.
2017|The speaker keeps disconnecting from Bluetooth at random.|스피커가 블루투스 연결이 자꾸 중간에 끊겨.|Technology|Intermediate|Use when describing unstable Bluetooth connection on a speaker.
2018|The speaker keeps asking me to pair it again.|스피커가 자꾸 다시 페어링하라고 해.|Technology|Intermediate|Use when describing a speaker that repeatedly forgets its pairing.
2019|The speaker keeps sounding quieter than usual.|스피커 소리가 평소보다 작게 들려.|Technology|Intermediate|Use when describing noticeably lower speaker volume than usual.
2020|The speaker keeps failing to play the next track.|스피커가 다음 곡을 자꾸 재생하지 못해.|Technology|Intermediate|Use when describing repeated playback problems with the next track.
1009|It may be better to wait a bit longer.|조금 더 기다리는 편이 나을 수도 있어.|Opinion|Intermediate|Use when suggesting that waiting a little longer may lead to a better outcome.
2172|It seems wiser to double-check the details while things are still manageable.|아직 감당 가능한 동안 세부 내용을 다시 확인하는 게 더 현명해 보여.|Opinion|Advanced|Use when suggesting a careful review before a situation becomes hard to manage.
