121|I need to check my bag before lunch.|점심 전에 가방을 확인해야 해.|Daily life|Beginner|Use when you want to remember a small but important task.
122|I forgot to check my bag before I left the house.|집에서 나오기 전에 가방을 확인하는 걸 깜빡했어.|Daily life|Beginner|Useful for talking about a simple mistake before leaving.
123|I'm trying to keep my bag organized so I can find things quickly.|필요한 걸 빨리 찾을 수 있도록 가방을 정리해 두려고 해.|Daily life|Intermediate|Use when describing an everyday organizing habit.
124|There are a few things in my bag that I should probably throw away.|가방 안에 이제는 버려야 할 것들이 몇 개 들어 있어.|Daily life|Intermediate|Useful when talking about clutter and small cleanups.
125|I checked my bag twice, but I still feel like I'm forgetting something.|가방을 두 번이나 확인했는데도 아직 뭔가 빠뜨린 것 같은 기분이 들어.|Daily life|Advanced|Use when you want to express lingering uncertainty.
126|My bag gets so cluttered during the week that it slows me down every morning.|주중에 가방이 너무 어수선해져서 아침마다 준비 속도가 느려져.|Daily life|Advanced|Useful when describing how small habits affect your routine.
127|I need to tidy my desk before I start working.|일을 시작하기 전에 책상을 정리해야 해.|Daily life|Beginner|Use when you need a clean space before starting.
128|I left my desk messy again last night.|어젯밤에 또 책상을 어질러 놓고 말았어.|Daily life|Beginner|Useful for admitting a simple habit or mistake.
129|I work better when my desk is clear and everything is in the right place.|책상이 깔끔하고 물건이 제자리에 있을 때 일이 더 잘돼.|Daily life|Intermediate|Use when talking about what helps you focus.
130|My desk gets messy whenever I try to do too many things at once.|한꺼번에 너무 많은 일을 하려고 하면 책상이 금방 어질러져.|Daily life|Intermediate|Useful for describing how your environment reflects your workload.
131|I finally cleared off my desk after putting it off all week.|일주일 내내 미루다가 드디어 책상을 말끔히 정리했어.|Daily life|Advanced|Use when describing delayed but satisfying progress.
132|Now that my desk is tidy, I can focus without getting distracted every few minutes.|이제 책상이 정돈돼서 몇 분마다 흐름이 끊기지 않고 집중할 수 있어.|Daily life|Advanced|Useful when connecting your environment to concentration.
133|I need to charge my phone before I go to bed.|자기 전에 휴대폰을 충전해야 해.|Daily life|Beginner|Use when talking about a basic nightly routine.
134|I forgot to charge my phone, so the battery is almost dead.|휴대폰 충전을 깜빡해서 배터리가 거의 다 닳았어.|Daily life|Beginner|Useful for explaining a simple everyday problem.
135|I usually charge my phone overnight so I don't have to think about it in the morning.|아침에 신경 쓰지 않으려고 보통 밤새 휴대폰을 충전해 둬.|Daily life|Intermediate|Use when describing a practical habit.
136|My battery has been running out faster than usual lately.|요즘 배터리가 평소보다 더 빨리 닳고 있어.|Daily life|Intermediate|Useful when noticing a small but annoying change.
137|I charged my phone overnight, but it still dropped below fifty percent before noon.|밤새 충전했는데도 점심도 되기 전에 배터리가 절반 아래로 떨어졌어.|Daily life|Advanced|Use when describing an unexpected device issue.
138|My phone battery drains so unpredictably that I always carry a charger just in case.|휴대폰 배터리가 너무 예측 안 되게 닳아서 혹시 몰라 항상 충전기를 들고 다녀.|Daily life|Advanced|Useful when explaining a precautionary habit.
139|I need to clean my room this evening.|오늘 저녁에는 방을 청소해야 해.|Daily life|Beginner|Use when talking about a basic home chore.
140|I haven't cleaned my room in a few days.|며칠째 방 청소를 못 했어.|Daily life|Beginner|Useful for talking about chores you delayed.
141|I want my room to feel less cluttered before the weekend starts.|주말이 시작되기 전에 방이 덜 어수선했으면 좋겠어.|Daily life|Intermediate|Use when talking about preparing your space ahead of time.
142|Cleaning my room always takes longer than I think it will.|방 청소는 늘 생각보다 오래 걸려.|Daily life|Intermediate|Useful when talking about chores that expand unexpectedly.
143|I cleaned my room earlier, but it already looks messy again somehow.|아까 방을 치웠는데도 이상하게 벌써 다시 어질러진 것처럼 보여.|Daily life|Advanced|Use when something feels frustratingly temporary.
144|A clean room makes a bigger difference to my mood than I usually admit.|방이 깨끗하면 기분에 미치는 영향이 생각보다 훨씬 커.|Daily life|Advanced|Useful when reflecting on how your space affects you.
145|I need to check my schedule for tomorrow.|내일 일정을 확인해야 해.|Daily life|Beginner|Use when planning the next day.
146|I forgot that I already had plans tomorrow morning.|내일 아침에 이미 약속이 있다는 걸 깜빡했어.|Daily life|Beginner|Useful for talking about a scheduling mistake.
147|My schedule is starting to fill up, so I need to be more careful with my time.|일정이 점점 차기 시작해서 시간을 더 신중하게 써야 해.|Daily life|Intermediate|Use when planning becomes more important.
148|I try to review my schedule at night so the next day feels less rushed.|다음 날이 덜 바쁘게 느껴지도록 밤마다 일정을 확인하려고 해.|Daily life|Intermediate|Useful when describing a time-management habit.
149|I've gone over my schedule several times, and it still feels too packed.|일정을 몇 번이나 다시 봤는데도 여전히 너무 빡빡하게 느껴져.|Daily life|Advanced|Use when you want to express pressure from a full calendar.
150|This week's schedule is so tight that even a small delay could throw everything off.|이번 주 일정이 너무 촘촘해서 작은 지연만 생겨도 전체가 꼬일 수 있어.|Daily life|Advanced|Useful when describing how fragile a packed plan can be.
151|I need to pack my charger before I leave.|나가기 전에 충전기를 챙겨야 해.|Daily life|Beginner|Use when remembering a basic travel or work item.
